10.03.2016 11:31:57.109	8	19
10.03.2016 11:33:17.171	8	17
10.03.2016 11:39:37.484	8	19
10.03.2016 11:40:07.515	7	17
10.03.2016 11:41:57.593	9	19
10.03.2016 11:46:37.828	7	16
10.03.2016 11:47:57.890	7	19
10.03.2016 11:50:08.000	9	17
10.03.2016 11:51:28.062	7	18
10.03.2016 11:53:48.187	7	16
10.03.2016 11:54:28.218	9	18
10.03.2016 12:00:48.531	7	16
10.03.2016 12:03:08.640	7	18
10.03.2016 12:04:18.703	9	17
10.03.2016 12:04:38.718	7	18
10.03.2016 12:06:38.812	8	20
10.03.2016 12:07:08.828	7	16
10.03.2016 12:08:28.906	8	19
10.03.2016 12:13:39.156	7	16
10.03.2016 12:14:39.203	7	18
10.03.2016 12:21:09.515	10	19
10.03.2016 12:22:49.593	8	17
10.03.2016 12:33:50.140	7	20
10.03.2016 12:34:20.156	7	16
10.03.2016 12:35:30.218	8	19
10.03.2016 12:39:20.406	8	16
10.03.2016 12:40:20.453	7	19
10.03.2016 12:40:50.484	7	16
10.03.2016 12:42:20.546	7	19
10.03.2016 12:43:10.593	9	18
10.03.2016 12:43:30.609	7	18
10.03.2016 12:46:10.734	9	17
10.03.2016 12:46:40.765	9	20
10.03.2016 12:47:10.781	9	18
10.03.2016 12:47:50.828	12	16
10.03.2016 12:48:50.875	9	18
10.03.2016 12:54:51.156	7	19
10.03.2016 12:57:21.281	9	17
10.03.2016 12:59:51.406	8	19
10.03.2016 13:00:21.437	7	17
10.03.2016 13:13:32.078	10	18
10.03.2016 13:14:32.125	8	16
10.03.2016 13:14:52.140	10	16
10.03.2016 13:15:32.171	8	18
10.03.2016 13:18:22.328	8	16
10.03.2016 13:19:42.390	7	18
10.03.2016 13:22:22.515	8	16
10.03.2016 13:23:02.546	10	18
10.03.2016 13:24:52.640	8	17
10.03.2016 13:29:12.859	8	19
10.03.2016 13:29:42.875	7	17
10.03.2016 13:31:32.968	9	19
10.03.2016 13:32:03.000	8	16
10.03.2016 13:32:53.031	8	19
10.03.2016 13:33:23.062	7	16
10.03.2016 13:34:23.109	7	18
10.03.2016 13:36:13.203	7	16
10.03.2016 13:36:43.218	9	17
10.03.2016 13:42:23.500	7	18
10.03.2016 13:43:33.562	9	17
10.03.2016 13:45:53.671	8	20
10.03.2016 13:46:13.687	7	18
10.03.2016 13:56:54.203	10	17
10.03.2016 13:59:04.312	8	20
10.03.2016 13:59:24.328	7	17
10.03.2016 14:12:54.984	10	19
10.03.2016 14:13:15.000	8	17
10.03.2016 14:25:15.593	7	19
10.03.2016 14:26:05.625	7	16
10.03.2016 14:26:25.640	10	15
10.03.2016 14:27:15.687	11	18
10.03.2016 14:28:25.750	9	18
10.03.2016 14:31:35.906	8	16
10.03.2016 14:33:15.984	7	18
10.03.2016 14:34:36.046	9	17
10.03.2016 14:38:16.218	8	19
10.03.2016 14:38:56.265	8	16
10.03.2016 14:40:06.312	8	18
10.03.2016 14:44:56.546	8	16
10.03.2016 14:46:26.625	7	18
10.03.2016 14:47:46.687	9	17
10.03.2016 14:51:46.890	7	20
10.03.2016 14:52:16.906	8	18
10.03.2016 14:52:46.937	9	15
10.03.2016 14:53:46.984	8	18
10.03.2016 14:55:07.046	8	16
10.03.2016 14:55:47.078	8	18
10.03.2016 15:06:07.593	9	16
10.03.2016 15:06:57.625	11	18
10.03.2016 15:07:57.671	8	17
10.03.2016 15:18:38.203	7	20
10.03.2016 15:19:08.218	7	17
10.03.2016 15:20:48.296	8	19
10.03.2016 15:21:18.328	8	17
10.03.2016 15:23:58.453	8	19
10.03.2016 15:24:18.468	8	17
10.03.2016 15:31:48.843	8	20
10.03.2016 15:32:18.859	8	17
10.03.2016 15:44:49.468	8	20
10.03.2016 15:45:29.500	8	16
10.03.2016 15:46:59.578	8	19
10.03.2016 15:48:49.671	8	17
10.03.2016 15:49:39.703	8	19
